t,y with h=0.01,y with h=0.005,y with h=0.001
-1.46,-0.17074099241958843,-0.1758874816191217,-0.1800805296839063
-1.45,-0.14736208632304937,-0.1522428494112784,-0.1562180412987603
-1.44,-0.12467532232165737,-0.129304701755358,-0.1330739439110991
-1.43,-0.10265300790824336,-0.10704438205073667,-0.11061877018487448
-1.42,-0.08126894251436531,-0.08543480164038712,-0.08882468554447076
-1.41,-0.06049831579944738,-0.0644503312327287,-0.06766537365236446
-1.4,-0.040317614101951296,-0.04406670118475693,-0.04711593136276978
-1.39,-0.020704534297806863,-0.02426090981263943,-0.027152772246850754
-1.38,-0.0016379043899180622,-0.005011138984361138,-0.007753537882380892
-1.3699999999999999,0.01690238977792642,0.013703323673002666,0.011102983813589465
-1.3599999999999999,0.03493547222782583,0.03190215654987053,0.02943693385491821
-1.3499999999999999,0.052479539465664665,0.04960407035204921,0.047267451638482685
-1.3399999999999999,0.0695519184520113,0.06682686940327126,0.0646127390981766
-1.33,0.0861691203246685,0.08358750838764159,0.08149012002834234
-1.32,0.10234689023299662,0.09990214492450214,0.09791609499765017
-1.31,0.11810025360973594,0.11578618833013408,0.11390639223304513
-1.3,0.13344355917531067,0.13125434488673532,0.1294760148165173
-1.29,0.1483905189420769,0.14632065990875157,0.14463928450456554
-1.28,0.1629542454613108,0.16099855686947762,0.15940988245085025
-1.27,0.1771472865335963,0.17530087382651297,0.17380088708625197
-1.26,0.1909816575833787,0.18923989736282798,0.18782480938701576
-1.25,0.20446887188055288,0.2028273942405915,0.20149362574054824
-1.24,0.2176199687758325,0.21607464094727913,0.21481880859947358
-1.23,0.23044554010210613,0.2289924512977048,0.22781135509750372
-1.22,0.24295575488085697,0.24159120224130656,0.24048181378532738
-1.21,0.2551603824608563,0.25388085801109905,0.2528403096308834
-1.2,0.26706881420560097,0.2658709927390325,0.26489656741589546
-1.19,0.2786900838362363,0.27757081165193964,0.27665993364926084
-1.18,0.2900328865278842,0.28898917095269017,0.28813939710767844
-1.17,0.3011055968492872,0.3001345964825019,0.2993436081046594
-1.16,0.31191628562839996,0.3110153012524943,0.31028089658068386
-1.15,0.3224727358199426,0.3216392019254211,0.32095928909966437
-1.14,0.3327824574449014,0.33201393432202186,0.33138652482997033
-1.13,0.3428527016664703,0.34214686802051797,0.34157007058198763
-1.1199999999999999,0.35269047406191706,0.3520451201123891,0.35151713496846965
-1.1099999999999999,0.36230254714528404,0.3617155681726535,0.3612346817487329
-1.0999999999999999,0.3716954721916536,0.3711648624983888,0.37072944241299677
-1.0899999999999999,0.38087559040988667,0.38039943766513484,0.3800079280588356
-1.08,0.3898490435072436,0.38942552344707226,0.38907644060775315
-1.07,0.39862178368609325,0.39824915514344444,0.39794108340626794
-1.06,0.4071995831099769,0.4068761833505487,0.40660777125258396
-1.05,0.4155880428735992,0.415312283215748,0.41508223988689363
-1.04,0.42379260150884357,0.42356296320731285,0.42337005498057295
-1.03,0.4318185430566358,0.43163357343148273,0.43147662065698356
-1.02,0.43967100473238935,0.4395293135259088,0.4394071875742544
-1.01,0.4473549842108427,0.4472552401565962,0.44716686059826366
-1.0,0.4548753465543286,0.45481627414358117,0.4547606060920689
-0.9899999999999998,0.4622368308068844,0.46221720723884774,0.46219325884621315
-0.98,0.4694440562751086,0.4694627085783926,0.4694695286726624
-0.9699999999999998,0.4765015285152844,0.47655733082887775,0.47659400668358853
-0.96,0.48341364504500933,0.4835055160479552,0.48357117127479393
-0.9500000000000002,0.4901847007963921,0.49031160127609824,0.49040539383226245
-0.94,0.49681889332678486,0.49697982387661893,0.49710094417911604
-0.9300000000000002,0.5033203278020134,0.5035143266394881,0.5036619957791411
-0.9199999999999999,0.509693021766136,0.5099191626635887,0.5100926307120197
